調查日期,鄉鎮市區,村里,調查地區分類,布氏指數,布氏級數,成蟲指數(埃及斑蚊),成蟲指數(白線斑蚊),住宅指數,住宅級數,容器級數,Latitude,Longitude,color
2015/8/7,南　區,大忠里,住宅,4,1,0,0,4,2,4,22.9698014,120.2101595,darkgreen
2015/8/7,東　區,裕農里,住宅,2,1,0,0,2,1,3,22.9886954,120.2289146,darkgreen
2015/8/7,永康區,安康里,住宅,2,1,0,0,2,1,4,23.0158435,120.227472,darkgreen
2015/8/7,永康區,中興里,住宅,2,1,0,0,2,1,4,23.0061926,120.2382911,darkgreen
2015/8/7,永康區,鹽行里,住宅,2,1,0,0,2,1,2,23.0423211,120.2320089,darkgreen
2015/8/7,北　區,玉皇里,住宅,1,1,0,0,1,1,3,22.9996798,120.2069132,darkgreen
2015/8/7,北　區,中樓里,住宅,2,1,0,0,2,1,3,23.0034966,120.2159306,darkgreen
2015/8/7,北　區,永祥里,住宅,2,1,0,0,2,1,3,23.0160134,120.2202587,darkgreen
2015/8/7,中西區,三民里,住宅,4,1,0,0,4,2,3,22.994872,120.2058311,darkgreen
2015/8/7,中西區,文賢里,住宅,3,1,0,0,3,1,5,23.003892,120.1932056,darkgreen
2015/8/7,中西區,民權里,住宅,17,3,0,0,14,3,6,22.9969861,120.1957308,darkpurple
2015/8/7,中西區,中正里,住宅,2,1,0,0,2,1,3,22.993999,120.1971737,darkgreen
2015/8/10,中西區,民權里,住宅,2,1,0,0,2,1,2,22.9969861,120.1957308,darkgreen
2015/8/10,中西區,三民里,住宅,4,1,0,0,4,2,3,22.994872,120.2058311,darkgreen
2015/8/10,中西區,保安里,住宅,8,2,0,0,6,2,7,22.9917249,120.196813,darkgreen
2015/8/10,中西區,三民里,住宅,2,1,0,0,2,1,2,22.994872,120.2058311,darkgreen
2015/8/10,中西區,三民里,住宅,4,1,0,0,4,2,5,22.994872,120.2058311,darkgreen
2015/8/10,中西區,三民里,住宅,2,1,0,0,2,1,4,22.994872,120.2058311,darkgreen
2015/8/10,南　區,文南里,住宅,2,1,0,0,2,1,2,22.9840282,120.1870727,darkgreen
2015/8/10,南　區,文南里,住宅,6,2,0,0,4,2,5,22.9840282,120.1870727,darkgreen
2015/8/10,東　區,和平里,住宅,8,2,0,0,8,3,5,22.9745842,120.2354061,darkgreen
2015/8/10,東　區,東明里,住宅,4,1,0,0,2,1,2,22.9916823,120.227472,darkgreen
2015/8/10,永康區,甲頂里,住宅,8,2,0,0,8,3,4,23.0217702,120.2152092,darkgreen
2015/8/10,永康區,鹽洲里,住宅,9,2,0,0,9,3,4,23.0436165,120.2353158,darkgreen
2015/8/10,安平區,金城里,住宅,50,6,0,0,9,3,7,22.9953785,120.1488264,darkpurple
2015/8/11,安平區,文平里,住宅,4,1,0,0,4,2,4,22.9860574,120.1805789,darkgreen
