id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
83,臺南市,曾文溪流域,曾文溪,走馬瀨橋,2015/04/07,1.5,29.2,8.1999999999999993,559,0.02,-,29.2,48.9,7.2,10.7,94.7,1.1000000000000001,230
84,臺南市,曾文溪流域,曾文溪,麻善大橋,2015/04/07,2,27.3,7.9,18900,0.37,6420,24.3,24.3,4.9000000000000004,13.5,65.8,1.9,240
85,臺南市,鹽水溪流域,鹽水溪,千鳥橋,2015/04/01,1.5,26.6,8,626,0.05,-,30.8,10,5.2,10.199999999999999,65.5,1.2,150
86,臺南市,鹽水溪流域,鹽水溪,同心橋,2015/04/01,1.5,25.5,8.1,582,0.06,-,28.9,5.6,5.0999999999999996,6.3,62.2,<1.0,130
87,臺南市,鹽水溪流域,鹽水溪,太平橋,2015/04/01,-,-,-,-,-,-,-,-,-,-,-,-,-
88,臺南市,鹽水溪流域,鹽水溪,新灣橋,2015/04/01,-,-,-,-,-,-,-,-,-,-,-,-,-
89,臺南市,鹽水溪流域,鹽水溪,豐化橋,2015/04/01,5.8,28.3,7.8,985,9.3800000000000008,-,32.299999999999997,19,4.2,48.4,53.7,13.5,450000
90,臺南市,鹽水溪流域,鹽水溪,鹽水溪橋,2015/04/01,6.3,28.2,7.8,28200,10.3,10100,32,33.4,4.0999999999999996,35.299999999999997,58.3,12.2,310000
91,高雄市,二仁溪流域,二仁溪,二層橋,2015/04/01,2.8,25.8,8.1999999999999993,519,2.61,-,28.8,11,6.4,12.5,78.599999999999994,1.8,3700
92,高雄市,二仁溪流域,二仁溪,南雄橋,2015/04/01,5,28.4,8.1,859,14.9,-,31.5,28.5,10.199999999999999,50.8,131.80000000000001,11.9,7000
93,高雄市,二仁溪流域,二仁溪,古亭橋,2015/04/01,6,26.1,7.6,686,13,-,31.7,8,1.2,24,14.9,4.4000000000000004,27000
94,高雄市,二仁溪流域,二仁溪,崇德橋,2015/04/01,5,26.9,7.8,750,11.8,-,29.1,17.2,5.6,26.6,70.900000000000006,5.3,47000
95,高雄市,二仁溪流域,二仁溪,石安橋,2015/04/01,4.5,28.6,8,1280,14.8,-,29.2,19.100000000000001,9.6999999999999993,43.3,125.4,11.6,2200
96,高雄市,阿公店溪流域,阿公店溪,前州橋,2015/04/09,-,-,-,-,-,-,-,-,-,-,-,-,-
