id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
﻿序號,縣市,流域,河川,測點,採樣日期,RPI指標,一般項目,,,,,,,,,,,
,,,,,,"RPI River Pollution Index","水溫 Water Temperature (℃)","酸鹼值 pH","導電度 Conductivity (μmho/cm25℃)","氨氮 NH3-N (mg/L)","氯鹽 Chloride (mg/L)","氣溫 Temperature (℃)","懸浮固體 Suspended Solid (mg/L)","溶氧(電極法) Dissolved Oxygen (mg/L)","化學需氧量 Chemical Oxygen Demand (mg/L)","溶氧飽和度 Dissolved Oxygen Saturation (%)","生化需氧量 Biochemical Oxygen Demand (mg/L)","大腸桿菌群 Coliform Group (CFU/100mL)"
51,臺中市,烏溪流域,旱溪,國光橋,2017/02/09,2.3,19.5,7.4,407,2.18,-,13.7,8.8,6.7,14.6,72.8,2.8,"52,000"
52,臺中市,烏溪流域,旱溪,樹王橋,2017/02/09,4.0,20.2,7.5,443,2.98,-,14.5,10.0,6.0,19.6,66.6,5.1,"170,000"
53,臺中市,烏溪流域,烏溪,大度橋(原為大肚橋),2017/02/08,3.8,24.0,7.7,495,3.55,-,23.1,36.4,6.8,14.9,80.8,3.0,"340,000"
54,臺中市,烏溪流域,烏溪,大里橋,2017/02/08,4.0,23.8,7.3,516,2.76,-,23.0,28.2,7.7,25.9,91.0,5.2,"91,000"
55,臺中市,烏溪流域,烏溪,溪南橋,2017/02/08,4.8,24.2,7.6,527,1.71,-,24.5,69.2,7.3,29.0,86.7,5.7,"340,000"
56,臺中市,烏溪流域,烏溪,烏溪橋,2017/02/08,1.0,22.3,8.3,402,0.07,-,22.3,10.6,9.9,8.8,114.4,2.0,"72,000"
57,臺中市,烏溪流域,烏溪,逢甲橋,2017/02/08,1.0,19.3,8.1,499,0.09,-,22.2,2.6,7.1,12.8,77.3,2.6,90
58,臺中市,,筏子溪,東海橋,2017/02/09,1.5,17.5,7.6,467,0.4,-,18.1,10.4,9.9,12.1,104.5,3.1,"8,400"
59,臺中市,,筏子溪,集泉橋,2017/02/09,1.0,18.5,7.9,484,0.49,-,16.9,8.8,8.4,13.1,89.8,2.4,"78,000"
60,臺南市,二仁溪流域,二仁溪,二層行橋,2017/02/07,2.8,22.6,8.1,"31,000",2.77,"10,600",20.6,13.8,9.2,17.4,115.1,3.9,"1,100"
61,臺南市,二仁溪流域,二仁溪,五空橋,2017/02/07,6.8,23.6,7.8,"1,010",17.3,-,24.7,9.9,1.3,36.4,15.1,7.6,"460,000"
