案類,發生日期,發生地點
住宅竊盜,1040126,台北市內湖區
住宅竊盜,1040126,台北市中正區
住宅竊盜,1040126,花蓮縣鳳林鎮
住宅竊盜,1040126,台北市萬華區
住宅竊盜,1040126,新北市板橋區
住宅竊盜,1040126,嘉義縣民雄鄉
住宅竊盜,1040126,南投縣南投市
住宅竊盜,1040126,桃園市平鎮區
住宅竊盜,1040126,屏東縣里港鄉
住宅竊盜,1040126,彰化縣二林鎮
住宅竊盜,1040127,新北市汐止區
住宅竊盜,1040127,台北市南港區
住宅竊盜,1040127,台北市大安區
住宅竊盜,1040127,新竹市東區
住宅竊盜,1040127,苗栗縣苑裡鎮
住宅竊盜,1040127,新北市中和區
住宅竊盜,1040127,台北市中山區
住宅竊盜,1040127,雲林縣斗六市
住宅竊盜,1040127,台北市中山區
住宅竊盜,1040127,苗栗縣苗栗市
住宅竊盜,1040127,雲林縣麥寮鄉
住宅竊盜,1040127,新北市板橋區
住宅竊盜,1040128,新北市深坑區
住宅竊盜,1040128,台北市內湖區
住宅竊盜,1040128,南投縣集集鎮
住宅竊盜,1040128,新北市汐止區
住宅竊盜,1040128,新北市中和區
住宅竊盜,1040128,苗栗縣竹南鎮
住宅竊盜,1040128,新北市三重區
住宅竊盜,1040128,新北市泰山區
住宅竊盜,1040129,花蓮縣花蓮市
住宅竊盜,1040129,台南市安平區
住宅竊盜,1040129,台南市永康區
住宅竊盜,1040129,南投縣水里鄉
住宅竊盜,1040129,澎湖縣七美鄉
住宅竊盜,1040129,新北市永和區
住宅竊盜,1040129,雲林縣台西鄉
住宅竊盜,1040129,雲林縣台西鄉
住宅竊盜,1040129,新北市三重區
住宅竊盜,1040129,台中市北區
住宅竊盜,1040129,雲林縣四湖鄉
住宅竊盜,1040129,台南市官田區
住宅竊盜,1040129,基隆市七堵區
住宅竊盜,1040129,台北市信義區
住宅竊盜,1040129,花蓮縣花蓮市
住宅竊盜,1040130,花蓮縣吉安鄉
住宅竊盜,1040130,新北市三重區
住宅竊盜,1040130,桃園市中壢區
住宅竊盜,1040130,高雄市左營區
住宅竊盜,1040130,新北市五股區
住宅竊盜,1040130,新北市板橋區
住宅竊盜,1040130,新北市蘆洲區
住宅竊盜,1040130,台南市安南區
住宅竊盜,1040130,新竹縣湖口鄉
住宅竊盜,1040131,新北市新店區
