city,name,address,url,lat,lng
金門,金門國賓影城,金門縣金湖鎮新市里太湖路二段198號6樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=65db51ce-3ad5-48d8-8e32-7e872e56aa4a,24.4396984,118.4163332
台東,台東秀泰影城,台東市鐵花里5鄰新生路93號,http://www.showtimes.com.tw/timetable.asp?sid=6,22.7521125,121.148681
花蓮,花蓮秀泰影城,花蓮縣花蓮市國聯五路69號,http://www.showtimes.com.tw/timetable.asp?sid=5,23.9907537,121.6053563
南投,南投戲院,南投縣南投市大同街87號,https://tw.movies.yahoo.com/theater_result.html/id=77,23.9079636,120.6879166
宜蘭,新月豪華影城,宜蘭縣宜蘭市民權路二段38巷6號,http://www.lunacinemax.com.tw/movie_time/showtime.aspx,24.7548524,121.750711
宜蘭,日新戲院,宜蘭縣羅東鎮公園路100號3樓,http://www.ilanmovie.com/index2.php,24.6755821,121.7689659
基隆,基隆秀泰影城,基隆市中正區信一路177號,http://www.showtimes.com.tw/timetable.asp?sid=4,25.1309301,121.7447883
台北,今日秀泰影城,台北市萬華區峨眉街52號,http://www.showtimes.com.tw/studio.asp?sid=2,25.043798,121.505412
台北,in89豪華數位影城,台北市萬華區武昌街二段89號,http://www.in89.com.tw/movies.php,25.0454959,121.504021
桃園,美麗華台茂,桃園縣蘆竹鄉南崁路一段112號7樓,http://web.miramarcinemas.com/visInternetTicketing/visPrintShowTimes.aspx?visCinemaID=1004|TAI&visMultiCinema=Y&visLang=2&AspxAutoDetectCookieSupport=1,25.0784359,121.2969674
彰化,彰化戲院,彰化縣彰化市中正路二段153號3、4樓,http://www.atmovies.com.tw/showtime/t04701/a47/,24.0785609,120.537529
彰化,員林電影城,彰化縣員林鎮南昌路39號3樓,http://www.atmovies.com.tw/showtime/t04703/a47/,23.954479,120.573115
雲林,中華電影城,網站 雲林縣斗六市雲林路二段19號,http://cfapp.atmovies.com.tw/cfcounter/theaterweblink.cfm?theaterid=t04501&weblink=https://www.facebook.com/chmv168,23.705753,120.535669
嘉義,嘉年華戲院,嘉義市西區中山路615號,http://www.3d-movies.tw/showtimes.asp,23.4781559,120.4412644
高雄,高雄環球數位3D影城,高雄市苓雅區大順三路108號,http://www.u-movie.com.tw/,22.6321226,120.3253339
高雄,喜滿客夢時代影城,高雄市前鎮區中華五路789號,http://www.cinemark.com.tw/timetable_ks.asp,22.5950447,120.3071367
屏東,中影屏東影城,屏東縣屏東市民生路248號3、4樓,http://www.movie.com.tw/ptcinema/index.php?option=com_content&view=article&id=55&Itemid=50,22.670618,120.491952
澎湖,中興電影城,澎湖縣馬公市文康街37號,http://cfapp.atmovies.com.tw/cfcounter/theaterweblink.cfm?theaterid=t06901&weblink=,23.5687168,119.5671558
金門,金獅影城,金門縣金湖鎮中山路8-5號,http://cfapp.atmovies.com.tw/cfcounter/theaterweblink.cfm?theaterid=t06801&weblink=http://cinemax.windlion.com/,24.4413804,118.3649747
